,Applications,Categories,Company,EmployType,ExpiryDate,Location,PostedDate,Requirements,SalaryHigh,SalaryLow,SalaryRate,Seniority,Title
10,1,Others,KELLY SERVICES (SINGAPORE) PTE. LTD.,Full Time,Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Job Requirement:
Shall possess experience in area of research and use of analytical software","$3,100","$3,000",Monthly,Professional,Research Assistant
11,0,Public / Civil Service,SKILLSFUTURE SINGAPORE AGENCY,Full Time,Closing on 03 Apr 2019,Full Time,Posted 04 Feb 2019,,,,,,"Manager, Intelligence and Analytics [Private Education Services Division]"
12,0,Information Technology,NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,Full Time,Closing on 02 Mar 2019,South,Posted 04 Feb 2019,"Bachelor degree in Information Technology or equivalent.
At least 8 years of working experience with minimum 5 years of relevant experience in IT Governance, Risk and Compliance, and IT Audit.
Good knowledge of Governance, Risk and Compliance systems and framework.
Experience in healthcare institution or organisation with multiple complex IT systems will be an advantage.
Proven management skills in managing day-to-day operations.
Strong stakeholder engagement and interpersonal skills.","$10,000","$6,500",Monthly,Middle Management,"Assistant Director, Governance, Risk & Management, NUHS AIO-Medical Informatics & Governance"
13,0,Design,KKT TECHNOLOGY PTE. LTD.,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Requirements:
At least 2 years of UI/UX design experience. Preference will be given to candidates who have experience designing complex solutions for digital environments.
Excellent communication skills (you should be able to clearly articulate your design decisions)
Experience in designing and shipping usable web and mobile interfaces from pre- to post-launch
Strong interaction design - confident, clean visual design.
The ability to think at a high level about product strategy and vision (not just 'how it should look' but 'what we should build')
Excellent leadership, communication and teamwork skills
You should include these in your application:
A link to your online portfolio
Your CV","$7,000","$4,200",Monthly,"Executive, Junior Executive, Senior Executive",Product Designer
14,0,Others,BRE ASIA PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Educations and Skills:
Minimum Degree/BAC + 2 or equivalent with a legal/company secretarial exposure
6 years + of experience in a similar role
Experience in Private Equity/Fund Administration Services/Real Estate.
Experience managing project implementations
Exposure to fund structuring, set up and legal operations
Proven experience as team leader
Fluent in English, any other language will be an advantage
Knowledge of MS Office standard applications
  Other Skills:
Time Management skills and Efficient: Can process large amounts of data while maintaining accuracy in the detail, yet can see the bigger picture
Decisions Making: Assess situations to determine the importance, urgency and risks, able to make clear decisions which are timely and in the best interests of Blackstone.
Ingenuity: being able to problem solve and find effective solutions in order to get transactions across the line 
Project Management: – Set strategies to move the organization forward, set goals, create and implement and drive actions plans, ensure and evaluate the process and results
Communication: Ability to negotiate between stakeholders to optimal outcome
Flexibility: Flexible in approach and priorities to match the business requirements, manages stress well and uses it as a positive motivator.","$16,000","$14,000",Monthly,Senior Management,Senior Vice President - Operations
15,0,Banking and Finance,UBS AG,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Your expertise :
You have:
– Proven experience in client service (ideally in banking). Highly proactive and diligent in follow up and follow through. Client focused, organized at bundling of requests and sensible on turnaround time.
– Broad understanding of KYC/AML and have a general sense of risk awareness. Risk conscious with emphasis on sensitive data sharing.
– A basic understanding of current regulatory requirements

You are:
– A self-starter who can work well with minimal supervision (you can micromanage yourself).
– A skilled written and verbal communicator. Can collaborate well with different functions and have the ability to manage stakeholder expectation.
– A dedicated team player with a can-do attitude and eagerness to learn.
– An effective worker who is able to multi-task and perform under pressure.
You may also apply directly via our career website using below link:
https://jobs.ubs.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25008&siteid=5012&AReq=188336BR
To learn more about UBS and other opportunities, please visit www.ubs.com/careers","$60,000","$45,000",Annually,Professional,KYC Client Onboarding Analyst
16,2,Insurance,PROFESSIONAL INVESTMENT ADVISORY SERVICES PTE LTD,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Minimum Diploma in Business or equivalent
Competency in all other MS programs
Comprehension and interest in mathematical processes
Flexible with working hours, puts extra effort in when required
Accepts responsibility
Identifies problems and provides practical solutions
Accuracy and an eye for detail
Strong ability to meet strict deadlines
Intermediate level of computer skills especially in Microsoft Excel","$2,900","$1,900",Monthly,Junior Executive,Business Support Officer
17,0,Insurance,PROFESSIONAL INVESTMENT ADVISORY SERVICES PTE LTD,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Minimum degree or equivalent
At least 5-6 years of working experience in risk, compliance or governance related positions
Knowledge of MAS regulatory requirements, FAA etc
Familiar with sales advisory process will be an added advantage
Basic knowledge of risk management principles is essential","$8,000","$5,000",Monthly,Professional,"Manager, Risk and Regulatory Management"
18,0,Insurance,PROFESSIONAL INVESTMENT ADVISORY SERVICES PTE LTD,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Minimum degree or equivalent
At least 4-5 years of working experience in risk, compliance or governance related positions
Knowledge of MAS regulatory requirements, FAA etc
Familiar with sales advisory process will be an added advantage
Basic knowledge of risk management principles is essential","$7,500","$5,000",Monthly,Professional,"Assistant Manager, Risk and Regulatory Management"
19,0,Information Technology,SYSNET SYSTEM AND SOLUTIONS PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Smallworld Applications development for layered products such as PNI, GSS4.3 including Migration tools to Import and Export data to and from Smallworld to SQLite databases.
Smallworld Application Development
Analysis of data issues during data loading by using customized import tool.
Network Inventory Audit by using customized Magik scripts
Testing
Support for GE Smallworld productions issues requested by customer inclusive of Network
Inventory and Order Management. The support includes answering customer directly.
Provide support to internal level 2 in providing GE Smallworld issues as requested by
customer.
Support for GE Smallworld changes deployment in maintenance hours,
Support for GE Smallworld services restart during other functions deployment or restar needed.","$7,000","$6,500",Monthly,Professional,Product Support Engineer
20,0,Healthcare / Pharmaceutical,SANOFI-AVENTIS SINGAPORE PTE. LTD.,Full Time,Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Educational Background
Master Degree in Business Management/Supply Chain or Logistics
Professional Experience
Demonstrate a good track record in the S&OP/Forecast area, preferably in a Pharmaceutical / Consumer Products industry
Strong Knowledge in SC planning and Operational Experience in S&OP/Forecast min 5 years
Hands on experience on managing complex stream processes and with experience of implementing such processes
Experience in tools like, SAP APO, Manugistics, Rapid Response, E2open, etc.
Experience translating business needs into process and implementation requirements in an IT implementation environment
Experience working in program mode
Major Skills and Competencies
Strong expertise on the stream area
Ability to reach consensus
Ability to create change management momentum, motivate/convince people
Accountability, reliability and ability to work in transparency
Open minded and active listening
Process design and business requirements definition capabilities
Capacity to formalize concepts and expectations
Ability to perform independently and in a collaborative environment.
Communication and interaction skills, including tact and diplomacy to exchange and escalade information throughout organization.
Fluent in English, French/Spanish is a plus","$12,000","$6,000",Monthly,Professional,S&OP / FORECAST Business Deployment Specialist - SCCore Program
21,0,Marketing / Public Relations,LEAP (G) PTE. LTD.,Permanent,Closing on 06 Mar 2019,Islandwide,Posted 04 Feb 2019,"Formal Education
Bachelors degree in business, marketing, communications, technical, or relevant field of study
Specialist Knowledge (work experience, further qualification)
At least 15 years of marketing experience 
At least 10 years marketing experience in B-to-B technology space, preferably majority of time spent within SAAS, IAAS, PAAS environments 
Good handle on consumer and market insights in the cloud technology industry, through robust analysis of market data and customer research. 
Good technical awareness and experience working in B2B, high-tech products/services preferred 
Demonstrated capability in developing strongly differentiated positioning and marketing strategies that have exceeded business objectives 
Proven capability in building and executing a multi-channel marketing plan for APAC 
Strong marketing agency relationships and experience of working agencies with varied competencies viz. events, direct marketing, digital marketing, tele-marketing etc.  
Strong capability to create a compelling positioning/messaging strategy from ground-up 
Solid quantitative and budget management skills  
Strong attention to details, planning and project management 
The ideal candidate must have a passion for results, a commitment to action-oriented analysis, an attitude that anything is possible, and a relentless focus on the customer.  
The right candidate will thrive in a highly entrepreneurial, fast-changing, and collaborative environment where people are driven, enthusiastic, collaborative and not afraid to take risks.","$18,000","$15,000",Monthly,Professional,Marketing Director
22,7,Marketing / Public Relations,REEBONZ LIMITED,Full Time,Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Requirements:
Diploma / Degree qualified, in Business, Marketing, Business Analytics, Marketing Analytics or Statistics
At least 4 Year(s) of working experience in data analysis or marketing analysis or similar capacity, with hands on experience in any B.I visualisation tools
Experience in customer and digital (web / mobile) analytics. Experience in digital marketing and campaigns analysis is preferred
Strong communication, problem-solving and analytical skills and the ability to work with all levels of users
Strong working knowledge of advanced MS Excel and power-point. Knowledge of Google Analytics, Data Studio, Tableau / Power Pivot is preferred
Knowledge of marketing automation tools (e.g. Oracle Responsys, Marketo)
Highly adaptable and enjoys working in a cross functional team setup
Responsible and committed to high quality of work
Keen interest in fashion or luxury industry
E-commerce or digital / consumer marketing experience
Interested candidates are welcome to apply with an updated copy of their resume accompanied with their last drawn salary and earliest availability.
We thank you for your interest in a career with Reebonz and regret to inform that only shortlisted candidate will be contacted. 
 ",,,,Executive,Senior Marketing Analytics Executive or Analyst
23,8,Engineering,TERALYTICS PTE. LTD.,"Permanent, Full Time",Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Your profile
You are a passionate software engineer with a keen interest in functional programming and are excited to learn and apply the latest techniques in location analytics.
 Must have qualifications:
Expert-level proficiency in multiple programming languages, including functional
programming
Extensive experience with modern software development practices such as test-driven
development, continuous integration, etc.
Previously built and operated large-scale, high-availability backend systems
Solid foundation in Computer Science, including algorithms and data structures
Highly-proficient in Mathematics and English
Advantageous:
Experience in senior, lead, or architect roles
Experience with “Big Data” platforms such as Hadoop, Storm, and/or Spark
Good working knowledge of PostgreSQL and PostGIS
Proficient in Scala and Python
Deep understanding of distributed systems and databases
Working knowledge of statistics and machine learning
Domain expertise in telco systems or GIS","$12,000","$6,000",Monthly,Professional,Software Engineer
24,0,"Events / Promotions , F&B, Marketing / Public Relations , Public / Civil Service, Sales / Retail",RASA RASA CATERING SERVICES PTE. LTD.,Full Time,Closing on 06 Mar 2019,West,Posted 04 Feb 2019,"~ Acquire and allocate resources to support operations.
~ Analyse risk management data.
~ Assess viability of workflow improvements.
~ Coordinate day-to-day fleet operational activities under supervision.
~ Maintain relationships with clients.
~ Manage compliance to risk management frameworks, policies and processes.
~ Manage contracts with ship owners, cargo owners and brokers.
~ Manage information exchange between clients and business.
~ Manage issues arising from servicing client accounts.
~ Monitor vessel schedules.
~ Optimise utilisation of resources.
~ Oversee implementation of workflow improvements to improve efficiency.
~ Support HSSEQ department in ensuring ship operations are in compliance with internal company procedures.","$3,000","$2,400",Monthly,"Fresh/entry level, Non-executive, Junior Executive",Operations Executive
25,3,Human Resources,ASIA PACIFIC BREWERIES (SINGAPORE) PTE LTD,Permanent,Closing on 06 Mar 2019,West,Posted 04 Feb 2019,"Prior experience in managing payroll projects.
Versatile in handling people of all levels and demographic backgrounds
Good knowledge of local labor laws and practices
Appreciation and awareness of policies and procedures in the human resource function coupled with the ability to apply the knowledge in day-to-day human resource activities.
General principles and practices of office management.
Good information technology skills and experience of using SAP based HRIS.
Good knowledge of current trends and practices of human resource administration.
Ability to establish and maintain effective working relationships
Good interpersonal skills working positively and sensitively with internal staff and external parties, and the ability to work in a collaborative team environment
Ability to build trust and confidence, and demonstrate integrity in the provision of advice and support on human resource issues and maintain confidential and sensitive information.
Good time management and personal organization skills; ability to organize own work priorities and meet datelines","$8,500","$6,000",Monthly,"Manager, Senior Executive",HR Operations Manager
26,0,Information Technology,HCL SINGAPORE PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Skills and experience:
• The candidate should have 8-12 years of AX functional experience.
• Have minimum 5 years of consulting experience in Supply chain management.
• Have worked on at least 3-4 end to end implementation projects and should be aware sure step implementation methodology.
• The candidate should aware and worked on Key supply chain module areas like procurement cycle including Vendor collaboration, inventory management including inventory closing process.
• Excellent communication skills along with good analysis and documentation skills.
• Should have positive and can do attitude
• Working in a collaborative environment.
• Relevant Microsoft Dynamics certifications.
Qualification:
• MBA/M. Com/BA/B. Com/CA / B.Tech/B.E or any other equivalent graduation in a reputed university.
• Should have good hands on experience on Dynamics AX 2012 with Dynamics 365O preferably
• Relevant procurement or SCM domain expertise would be preferable.","$10,000","$8,000",Monthly,Senior Executive,Senior Biz Specialist / Biz Specialist
27,1,Information Technology,HCL SINGAPORE PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Skills Required:
Total 8-12 years of work experience with minimum 5+ years of experience in Microsoft Dynamics AX2012/Dynamics 365 Implementations
4+ years' understanding of and primary responsibility for solutions in Financial Accounting including Asset Management and Maintenance
Has good knowledge on Preventive/ Cyclic/ Reactive/ Corrective Maintenance of Assets, Work orders, Sub-contracting and Replacement of Assets
Has experience on Integration of Dynamics365 for operations with Field Services and CRM
Expertise knowledge as to how EAM module is integrated or linked with Fixed Assets, AP/AR, General Ledger, Project Management & Accounting, Supply chain, Taxation and Audit
Solid understanding of interoperability issues and the strengths and weaknesses of platforms and products 
Strong and proven experience of implementing AX with at least 3 End-End AX / ERP implementation experience
Awareness of different type of industries like Manufacturing, Housing, Facility Management, where different kind of Assets are maintained and serviced
Confident and possesses effective communication skills 
Ability to learn quickly 
Thinks clearly and calmly under pressure 
Educational Qualifications:
MBA/M.Com/BA/B. Com/CA/ CWA/ B.Tech/B.E or any other equivalent graduation in a reputed university.
Experience on Dynamics AX industry solution would be preferable
Experience on Real estate or home services projects would be preferable","$10,000","$8,000",Monthly,Senior Executive,Senior Project Manager
28,0,Information Technology,HCL SINGAPORE PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Skills and experience:
• The candidate should have 8- 12 years of Dynamics AX functional experience.
• Have minimum 5 years of consulting experience in project management and accounting module.
• Have worked on at least 3-4 end to end implementation projects and should be aware sure step implementation methodology.
• The candidate should aware and worked on Key project module areas like WBS, Revenue recognition, Customer & Vendor retentions, Funding sources & Forecast and budgeting.
• Should have complete knowledge on various Project management Inquiry tools and reports
• Excellent communication skills along with good analysis and documentation skills.
• Should have positive and can do attitude. Working in a collaborative environment.
• Relevant Microsoft Dynamics certifications.
Qualification:
• MBA/M.Com/BA/B. Com/CA /B.E/B.Tech or any other equivalent graduation in a reputed university.
• Should have good hands on experience on Dynamics AX 2012 with Dynamics 365O preferably
• Hands on experience on Microsoft project server will be added advantage","$8,500","$6,500",Monthly,Senior Executive,Lead Consultant
29,0,Information Technology,HCL SINGAPORE PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Skills Required:
Total 8-12 years of work experience with minimum 5+ years of experience in Microsoft Dynamics AX2012/Dynamics 365 for operation Implementations
4+ years' understanding of and primary responsibility for solutions in Financial and Project Management Accounting and also multi-country and multi- currency AX implementations in Dynamics365O or other AX versions
Strong and proven experience of implementing AX with at least 3 End-End AX / ERP implementation experience
Experience in Housing implementation would be added advantage
Has good knowledge on UK Localization features, CIS, VAT shelter, multi dimension financial reporting, Customer Collections import, Auto bank reconciliation, Vendor payments and Management Reporter including configuration
Has experience on Integration of Dynamics365 for operations with other applications and CRM
Must have expertise knowledge & experience on Project Management & Accounting, Fixed Assets, AP/AR, General Ledger, Supply chain, Taxation and Audit
Awareness on Power BI and reporting tools added advantage
Solid understanding of interoperability issues and the strengths and weaknesses of platforms and products 
Confident and possesses effective communication skills 
Ability to learn quickly and confident in delivering the solution independently
Ability to work under pressure 
Educational Qualifications:
MBA/M.Com/ CA or any other equivalent graduation in a reputed university
Experience on UK projects desirable
Certifications in Microsoft Dynamics AX Finance modules desirable","$8,500","$6,500",Monthly,Senior Executive,Lead Consultant
30,0,Information Technology,MCS (FE) PTE. LTD.,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"At least a Bachelor’s Degree, Post Graduate Diploma or Professional Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.
Experience with software development projects a must.
Experience with working with MVC.
Able to apply software architecture and design patterns.
Strong knowledge of .Net; experience with .Net Core a huge plus.
Proficient in C#, with a good knowledge of its ecosystem.
Knowledge and understanding of relational databases and MySQL; experience with PostGreSQL is a huge plus.
Experience with data entry systems is a strong plus.
Knowledge of automated web based document (Word/PDF/Excel) creation tools a strong plus.
Proficient understanding of code versioning tools.
Effective problem solving, technical writing and time management skills.
Ability to work effectively in a team.","$7,000","$3,000",Monthly,Professional,Software Engineer
31,1,Information Technology,CASHSHIELD PTE. LTD.,Full Time,Closing on 06 Mar 2019,West,Posted 04 Feb 2019,"Bachelor Degree in Quantitative Finance, Statistics or related fields
Good academic record and skills in a technical/numerical area (computing, mathematics, programming, statistics, econometrics)
Strong mathematical and analytical skills, problem solving and troubleshooting skills
Confident in analysing large amount of data
Proficient in MS office applications
Ability to produce high quality, accurate work, under pressure and to tight deadlines
Passion for problems solving in both maths and programming knowledge
Strong interpersonal and communication skills","$4,500","$3,500",Monthly,Professional,Quantitative Analyst
32,0,Others,LEGO SINGAPORE PTE. LTD.,"Temporary, Contract",Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Do you have what it takes?
Bachelor’s degree in a business-related filed or equivalent working experience.
Minimum 1-2 years experience in operations, business analyst
Advanced level Excel Skill
Track record of strong collaboration with internal and external stakeholders, as well as standalone, independent working capability
Previous experience working with SAP
Proficiency in Microsoft office
Strong English communication skills
Join the global LEGO family
The LEGO® Group recruits and develops people entirely on merit. If you are confident you have what it takes to succeed in this role – and you share our commitment to creativity, collaboration, and quality – use the APPLY NOW directly at our LEGO career web: https://www.lego.com/en-sg/careers/jobdescription/operations-coordinator--9-months-contract-/56606506

BRINGING IT TO LIFE
“At The LEGO® Group, it is a company that makes you feel like home. You get to know others from all over the world, sharing ideas, working together and supporting each other to solve problems.”","$60,000","$38,000",Annually,Professional,Operations Coordinator (9 months contract)
33,0,Accounting / Auditing / Taxation,KUEHNE + NAGEL (ASIA PACIFIC) MANAGEMENT PTE. LTD.,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"University degree or equivalent higher education qualification
A recognized professional qualification CIA, ACCA, CPA (or equivalent)
3 to 5 years of experience in financial, operational and/or compliance audits within a professional accounting firm or internal audit function
Leadership of audit teams and/or supervision of staff
Experience in a multinational organization and/or a foreign country
Experience in the logistics/ freight forwarding industry
Fluent in English (verbal and written)
Demonstrate an up-to-date and in-depth knowledge of the business and audit techniques
Working knowledge of information systems and project control
Strong working knowledge of Excel, Word and Powerpoint
Knowledge of audit tools e.g. TeamMate
International Travel to all KN locations around the world, with up to 60% of annual working days to be spent abroad","$7,400","$6,000",Monthly,Professional,Internal Auditor
34,0,Education and Training,NATIONAL UNIVERSITY OF SINGAPORE,"Contract, Full Time",Closing on 06 Mar 2019,South,Posted 04 Feb 2019,"General Degree Holder, with at least 5 years of working experience
Prior working experience working in tertiary education institutions will be advantageous
Good communications skills and team work.
Familiar with Microsoft Office Suite (including Excel)
General ability to learn new computerized platforms (e.g., TalentConnect, Student Systems, etc.).","$6,000","$3,500",Monthly,Manager,"Assistant Manager, Career Preparation"
